Pixel at (2, 108): R=0, G=0, B=0
Pixel at (2, 109): R=0, G=0, B=0
Pixel at (2, 110): R=0, G=0, B=0
Pixel at (2, 111): R=0, G=0, B=0
Pixel at (2, 112): R=0, G=0, B=0
Pixel at (2, 113): R=0, G=0, B=0
Pixel at (2, 114): R=0, G=0, B=0
Pixel at (2, 115): R=0, G=0, B=0
Pixel at (2, 116): R=0, G=0, B=0
Pixel at (2, 117): R=0, G=0, B=0
Pixel at (2, 118): R=0, G=0, B=0
Pixel at (2, 119): R=0, G=0, B=0
Pixel at (2, 120): R=0, G=0, B=0
Pixel at (2, 121): R=0, G=0, B=0
Pixel at (2, 122): R=0, G=0, B=0
Pixel at (2, 123): R=0, G=0, B=0
Pixel at (2, 124): R=0, G=0, B=0
Pixel at (2, 125): R=0, G=0, B=0
Pixel at (2, 126): R=0, G=0, B=0
Pixel at (2, 127): R=0, G=0, B=0
